Genus	Subfamily	Family	Accession	Phage	Genome
Axyvirus		Autoscriptoviridae	MK962638	Achromobacter phage vB_AxyP_19-32_Axy21	dsDNA
Ayakvirus		Autoscriptoviridae	KY117485	Ralstonia phage phiAp1	dsDNA
Bertilvirus		Autoscriptoviridae	MW286266	Pseudomonas phage Bertil	dsDNA
Bolekvirus		Autoscriptoviridae	OM913597	Aeromonas phage vB_AspA_Bolek	dsDNA
Bolekvirus		Autoscriptoviridae	OM913598	Aeromonas phage vB_AspA_Lolek	dsDNA
Catalonvirus		Autoscriptoviridae	OL634959	Bacteriophage Phi NF-1	dsDNA
Jiaoyazivirus		Autoscriptoviridae	AB854109	Ralstonia phage RSB3	dsDNA
Linggongvirus		Autoscriptoviridae	MN497414	Vibrio phage vB_VhaP_VH-5	dsDNA
Maculvirus		Autoscriptoviridae	ON864052	Vibrio phage vB_VpP_AC2	dsDNA
Maculvirus		Autoscriptoviridae	MZ020222	Vibrio phage BUCT233	dsDNA
Natansvirus		Autoscriptoviridae	MN844877	Sphaerotilus phage vB_SnaP-R1	dsDNA
Savitribaivirus		Autoscriptoviridae	MT259468	Aeromonas phage PS	dsDNA
Stubburvirus		Autoscriptoviridae	AM265639	Pseudomonas phage LKA1	dsDNA
Trelivelvirus		Autoscriptoviridae	OX359471	Variovorax phage VAC_51	dsDNA
Tunggulvirus		Autoscriptoviridae	FN594518	Pseudomonas phage phi-2	dsDNA
Tunggulvirus		Autoscriptoviridae	MW627366	Pseudomonas phage phiGM22-3	dsDNA
Daolivirus	Colwellvirinae	Autosignataviridae	MK455769	Aeromonas phage MJG	dsDNA
Gutovirus	Colwellvirinae	Autosignataviridae	KJ502657	Vibrio phage Vc1	dsDNA
Kaohsiungvirus	Colwellvirinae	Autosignataviridae	KF322026	Vibrio phage phi-A318	dsDNA
Kaohsiungvirus	Colwellvirinae	Autosignataviridae	MK820013	Vibrio phage vB_VpaP_MGD2	dsDNA
Murciavirus	Colwellvirinae	Autosignataviridae	KY626176	Marinomonas phage CPP1m	dsDNA
Nerthusvirus	Colwellvirinae	Autosignataviridae	MH113814	Pseudomonas phage Achelous	dsDNA
Nerthusvirus	Colwellvirinae	Autosignataviridae	MH113815	Pseudomonas phage Alpheus	dsDNA
Njordvirus	Colwellvirinae	Autosignataviridae	MH113812	Pseudomonas phage Njord	dsDNA
Roscoffvirus	Colwellvirinae	Autosignataviridae	MW865291	Vibrio phage 15E36.1	dsDNA
Trungvirus	Colwellvirinae	Autosignataviridae	MG545917	Vibrio phage VEN	dsDNA
Uliginvirus	Colwellvirinae	Autosignataviridae	MG018929	Pseudomonas phage uligo	dsDNA
Acadevirus	Molineuxvirinae	Autosignataviridae	OQ729741	Proteus phage BigMira-UFV01	dsDNA
Acadevirus	Molineuxvirinae	Autosignataviridae	KM819695	Proteus phage PM 85	dsDNA
Axomammavirus	Molineuxvirinae	Autosignataviridae	JQ837901	Pectobacterium phage PP1	dsDNA
Eracentumvirus	Molineuxvirinae	Autosignataviridae	EF160123	Erwinia phage Era103	dsDNA
Eracentumvirus	Molineuxvirinae	Autosignataviridae	OK570184	Pantoea phage Nifs112	dsDNA
Gansuvirus	Molineuxvirinae	Autosignataviridae	OL744215	Klebsiella phage vB_KvaP_F4M1D	dsDNA
Gansuvirus	Molineuxvirinae	Autosignataviridae	OL744218	Klebsiella phage vB_KvaP_F5M1D	dsDNA
Guangxivirus	Molineuxvirinae	Autosignataviridae	ON461912	Salmonella phage PST_H2	dsDNA
Rodentiumvirus	Molineuxvirinae	Autosignataviridae	MG775042	Citrobacter phage vB_CroP_CrRp3	dsDNA
Rodentiumvirus	Molineuxvirinae	Autosignataviridae	MH729818	Escherichia phage LL11	dsDNA
Tuodvirus	Molineuxvirinae	Autosignataviridae	KM370384	Lelliottia phage phD2B	dsDNA
Ulipvirus	Molineuxvirinae	Autosignataviridae	OX335382	Klebsiella phage cp4	dsDNA
Ulipvirus	Molineuxvirinae	Autosignataviridae	MZ398244	Klebsiella phage IME184	dsDNA
Vectrevirus	Molineuxvirinae	Autosignataviridae	KX279892	Escherichia phage AAPEc6	dsDNA
Vectrevirus	Molineuxvirinae	Autosignataviridae	JN986844	Escherichia phage vB_EcoP_ACG-C91	dsDNA
Zindervirus	Molineuxvirinae	Autosignataviridae	KM366097	Salmonella phage BP12B	dsDNA
Zindervirus	Molineuxvirinae	Autosignataviridae	ON526839	Salmonella phage GRNsp51	dsDNA
Aarhusvirus	Studiervirinae	Autotranscriptaviridae	MH059632	Dickeya phage Dagda	dsDNA
Aarhusvirus	Studiervirinae	Autotranscriptaviridae	MH807813	Dickeya phage_Katbat	dsDNA
Apdecimavirus	Studiervirinae	Autotranscriptaviridae	KT852574	Yersinia phage vB_YenP_AP10	dsDNA
Apdecimavirus	Studiervirinae	Autotranscriptaviridae	OY978816	Klebsiella phage vB_Kpn_K12P1.1	dsDNA
Armandvirus	Studiervirinae	Autotranscriptaviridae	OM716005	Aeromonas phage vB_ AhaP_PT2	dsDNA
Armandvirus	Studiervirinae	Autotranscriptaviridae	MZ851152	Aeromonas phage PZL-Ah8	dsDNA
Bamvirus	Studiervirinae	Autotranscriptaviridae	OW991346	Escherichia phage vB_Eco_Bam	dsDNA
Benllochvirus	Studiervirinae	Autotranscriptaviridae	OR915848	Klebsiella phage vB_KpnP_cmc355D	dsDNA
Benllochvirus	Studiervirinae	Autotranscriptaviridae	OX335378	Klebsiella phage cp31	dsDNA
Berlinvirus	Studiervirinae	Autotranscriptaviridae	GQ468526	Escherichia phage 285P	dsDNA
Berlinvirus	Studiervirinae	Autotranscriptaviridae	MK685668	Shigella phage vB_ShiP_A7	dsDNA
Cankvirus	Studiervirinae	Autotranscriptaviridae	OQ622093	Pseudomonas phage 10P302A	dsDNA
Caroctavirus	Studiervirinae	Autotranscriptaviridae	HG818824	Citrobacter phage CR8	dsDNA
Chatterjeevirus	Studiervirinae	Autotranscriptaviridae	HQ641340	Vibrio phage ICP3	dsDNA
Chatterjeevirus	Studiervirinae	Autotranscriptaviridae	FJ409640	Vibrio phage N4	dsDNA
Coryciavirus	Studiervirinae	Autotranscriptaviridae	PP226939	Aeromonas phage phiA014S	dsDNA
Eapunavirus	Studiervirinae	Autotranscriptaviridae	KT321314	Enterobacter phage phiEap-1	dsDNA
Ebriosvirus	Studiervirinae	Autotranscriptaviridae	MG966531	Escherichia phage Ebrios	dsDNA
Ebriosvirus	Studiervirinae	Autotranscriptaviridae	JX872508	Stenotrophomonas phage IME15	dsDNA
Elunavirus	Studiervirinae	Autotranscriptaviridae	HQ728265	Erwinia phage vB_EamP-L1	dsDNA
Elunavirus	Studiervirinae	Autotranscriptaviridae	MN450150	Pantoea phage vB_PagP-SK1	dsDNA
Foetvirus	Studiervirinae	Autotranscriptaviridae	MT465573	Escherichia phage P1723	dsDNA
Foetvirus	Studiervirinae	Autotranscriptaviridae	MH370477	Escherichia phage SRT7	dsDNA
Ghunavirus	Studiervirinae	Autotranscriptaviridae	MZ501272	Pseudomonas phage AH05	dsDNA
Ghunavirus	Studiervirinae	Autotranscriptaviridae	OR997970	Pseudomonas phage Athelas	dsDNA
