Genus	Subfamily	Family	Accession	Phage	Genome
Clownvirus	Frickvirinae	Stackebrandtviridae	MT771343	Gordonia phage Clown	dsDNA
Riverraidervirus	Frickvirinae	Stackebrandtviridae	PQ184823.1	Gordonia phage RiverRaider	dsDNA
Wizardvirus	Frickvirinae	Stackebrandtviridae	MK864266	Gordonia phage Arri	dsDNA
Wizardvirus	Frickvirinae	Stackebrandtviridae	MK937603	Gordonia phage Bakery	dsDNA
Dexdertvirus	Schenleyvirinae	Stackebrandtviridae	MW314849	Gordonia phage Dexdert	dsDNA
Dexdertvirus	Schenleyvirinae	Stackebrandtviridae	KR053200	Gordonia phage GTE6	dsDNA
Kroosvirus	Schenleyvirinae	Stackebrandtviridae	MH651168	Gordonia phage Ashertheman	dsDNA
Kroosvirus	Schenleyvirinae	Stackebrandtviridae	MH976509	Gordonia phage Bizzy	dsDNA
Leonardvirus	Schenleyvirinae	Stackebrandtviridae	MH669000	Gordonia phage Ali17	dsDNA
Leonardvirus	Schenleyvirinae	Stackebrandtviridae	MN586047	Gordonia phage EMoore	dsDNA
Vividuovirus	Schenleyvirinae	Stackebrandtviridae	MH976507	Gordonia phage Ailee	dsDNA
Vividuovirus	Schenleyvirinae	Stackebrandtviridae	MH651166	Gordonia phage Angelicage	dsDNA
Zitchvirus	Schenleyvirinae	Stackebrandtviridae	ON755186	Gordonia phage APunk	dsDNA
Zitchvirus	Schenleyvirinae	Stackebrandtviridae	ON456337	Gordonia phage Sampson	dsDNA
Lilbeanievirus		Stackebrandtviridae	MW314850	Gordonia phage Lilbeanie	dsDNA
Coruscantvirus	Boydwoodruffvirinae	Stanwilliamsviridae	MT711976	Streptomyces phage Coruscant	dsDNA
Karimacvirus	Boydwoodruffvirinae	Stanwilliamsviridae	MH590599	Streptomyces phage Karimac	dsDNA
Karimacvirus	Boydwoodruffvirinae	Stanwilliamsviridae	MH590597	Streptomyces phage LukeCage	dsDNA
Samistivirus	Boydwoodruffvirinae	Stanwilliamsviridae	MT310865	Streptomyces phage Bmoc	dsDNA
Samistivirus	Boydwoodruffvirinae	Stanwilliamsviridae	MN096371	Streptomyces phage Braelyn	dsDNA
Tomasvirus	Boydwoodruffvirinae	Stanwilliamsviridae	OL829978	Streptomyces phage Tomas	dsDNA
Annadreamyvirus	Loccivirinae	Stanwilliamsviridae	MH536811	Streptomyces phage Annadreamy	dsDNA
Annadreamyvirus	Loccivirinae	Stanwilliamsviridae	MH536814	Streptomyces phage Blueeyedbeauty	dsDNA
Faustvirus	Loccivirinae	Stanwilliamsviridae	MT684598	Streptomyces phage Faust	dsDNA
Faustvirus	Loccivirinae	Stanwilliamsviridae	MW822145	Streptomyces phage TunaTartare	dsDNA
Gilsonvirus	Loccivirinae	Stanwilliamsviridae	MH651172	Streptomyces phage Comrade	dsDNA
Gilsonvirus	Loccivirinae	Stanwilliamsviridae	MK061412	Streptomyces phage Gilson	dsDNA
Wakandavirus	Loccivirinae	Stanwilliamsviridae	MT024872	Streptomyces phage Muntaha	dsDNA
Wakandavirus	Loccivirinae	Stanwilliamsviridae	MT024865	Streptomyces phage Wakanda	dsDNA
Wilnyevirus	Loccivirinae	Stanwilliamsviridae	MG757153	Streptomyces phage BillNye	dsDNA
Totsukavirus		Toyamaviridae	OP074812	Totsukavirus sp. isolate 2698_63430	dsDNA
Ushigomevirus		Toyamaviridae	OP030930	Ushigomevirus sp. isolate 1319_99498	dsDNA
Wadatovirus		Toyamaviridae	OP072217	Wadatovirus sp. isolate 2120_77420	dsDNA
Rivavirus	Polsinellivirinae	Trautnerviridae	MN176219	Bacillus phage 000TH010	dsDNA
Rivavirus	Polsinellivirinae	Trautnerviridae	MN176227	Bacillus phage 049ML001	dsDNA
Splendidredvirus	Polsinellivirinae	Trautnerviridae	MH752385	Bacillus phage Ray17	dsDNA
Splendidredvirus	Polsinellivirinae	Trautnerviridae	MN013088	Bacillus phage vB_BspS_SplendidRed	dsDNA
Prospektnaukivirus		Trautnerviridae	MN604230	Bacillus phage vB_BcM_Sam112	dsDNA
Moriyavirus		Umezonoviridae	OP072523	Moriyavirus sp. isolate 3108_57610	dsDNA
Moriyavirus		Umezonoviridae	OP072636	Moriyavirus sp. isolate 3451_82951	dsDNA
Namikivirus		Umezonoviridae	OP072489	Namikivirus sp. isolate 2995_93294	dsDNA
Namikivirus		Umezonoviridae	OP072486	Namikivirus sp. isolate 2991_115465	dsDNA
Dilongvirus	Gorskivirinae	Vandenendeviridae	OK040171	Pseudomonas phage PHB09	dsDNA
Flaumdravirus	Gorskivirinae	Vandenendeviridae	KU130129	Pseudomonas phage vB_PsyM_KIL4	dsDNA
Flaumdravirus	Gorskivirinae	Vandenendeviridae	KU130126	Pseudomonas phage vB_PsyM_KIL1	dsDNA
Kremarvirus	Gorskivirinae	Vandenendeviridae	OM982620	Pseudomonas phage Kremar	dsDNA
Kremarvirus	Gorskivirinae	Vandenendeviridae	MZ826350	Pseudomonas phage M5.1	dsDNA
Omahavirus	Gorskivirinae	Vandenendeviridae	PP551948	Pseudomonas phage UNO-G1W1	dsDNA
Otagovirus	Gorskivirinae	Vandenendeviridae	MN905160	Pseudomonas phage PE09	dsDNA
Otagovirus	Gorskivirinae	Vandenendeviridae	MW175491	Pseudomonas phage PN09	dsDNA
Shenlongvirus	Gorskivirinae	Vandenendeviridae	MF893340	Pseudomonas phage PPSC2	dsDNA
Tartuvirus	Gorskivirinae	Vandenendeviridae	PP496413	Pseudomonas phage vB_PpuM-Amme-3	dsDNA
Tartuvirus	Gorskivirinae	Vandenendeviridae	PP496414	Pseudomonas phage vB_PpuM-KoPa-4	dsDNA
Torinovirus	Gorskivirinae	Vandenendeviridae	MT740307	Pseudomonas phage phiK7A1	dsDNA
Uavernvirus	Gorskivirinae	Vandenendeviridae	MZ605293	Pseudomonas phage UAVern	dsDNA
Ventosusvirus	Gorskivirinae	Vandenendeviridae	MG018930	Pseudomonas phage ventosus	dsDNA
Weillhallvirus	Gorskivirinae	Vandenendeviridae	OR001909	Pseudomonas phage 16Q	dsDNA
Yunamivirus	Gorskivirinae	Vandenendeviridae	OR500437	Pseudomonas phage vB_PF_Y1-MI	dsDNA
Baldwinvirus	Skurskavirinae	Vandenendeviridae	ON169972	Pseudomonas phage EM	dsDNA
Pakpunavirus	Skurskavirinae	Vandenendeviridae	OQ225162	Pseudomonas phage vB_PaeS_B8	dsDNA
Pakpunavirus	Skurskavirinae	Vandenendeviridae	OQ225163	Pseudomonas phage vB_PaeM_B31	dsDNA
Chemalvirus		Vandenendeviridae	OR575930	Pseudomonas phage PseuGes_254	dsDNA
Nankokuvirus		Vandenendeviridae	LN610573	Pseudomonas phage vB_PaeM_PAO1_Ab03	dsDNA
Nankokuvirus		Vandenendeviridae	KY994101	Pseudomonas phage vB_PaeM_G1	dsDNA
Bromdenvirus	Lclasvirinae	Vilmaviridae	MH576973	Mycobacterium phage Bromden	dsDNA
Bromdenvirus	Lclasvirinae	Vilmaviridae	MN234187	Mycobacterium phage DyoEdafos	dsDNA
Bronvirus	Lclasvirinae	Vilmaviridae	HM152763	Mycobacterium phage LeBron	dsDNA
Bronvirus	Lclasvirinae	Vilmaviridae	MK310144	Mycobacterium phage CicholasNage	dsDNA
Faithunavirus	Lclasvirinae	Vilmaviridae	KT591489	Mycobacterium phage Archie	dsDNA
Faithunavirus	Lclasvirinae	Vilmaviridae	MT758688	Mycobacterium phage CELFI	dsDNA
Lumosvirus	Lclasvirinae	Vilmaviridae	MF140414	Mycobacterium phage Krypton555	dsDNA
Lumosvirus	Lclasvirinae	Vilmaviridae	KT281791	Mycobacterium phage Lolly9	dsDNA
Bongovirus	Mclasvirinae	Vilmaviridae	JN699628	Mycobacterium phage Bongo	dsDNA
Bongovirus	Mclasvirinae	Vilmaviridae	MT658803	Mycobacterium phage Reindeer	dsDNA
Nanosmitevirus	Mclasvirinae	Vilmaviridae	MW578836	Mycobacterium phage Nanosmite	dsDNA
Reyvirus	Mclasvirinae	Vilmaviridae	MT658802	Mycobacterium phage Aziz	dsDNA
Reyvirus	Mclasvirinae	Vilmaviridae	MT657341	Mycobacterium phage Estes	dsDNA
Kumaovirus		Vilmaviridae	MG009575	Mycobacterium phage Kumao	dsDNA
Wildcatvirus		Vilmaviridae	DQ398052	Mycobacterium phage Wildcat	dsDNA
Peternellavirus		Winoviridae	MT732475	Winogradskyella phage Peternella_1	dsDNA
Pippivirus		Winoviridae	MN812203	Flavobacterium phage vB_FspM_lotta8-1	dsDNA
Pippivirus		Winoviridae	MN812205	Flavobacterium phage vB_FspM_pippi8-1	dsDNA
Commandariavirus	Emilbogenvirinae	Zierdtviridae	OQ709208	Gordonia phage Commandaria	dsDNA
Foxborovirus	Emilbogenvirinae	Zierdtviridae	MH779501	Gordonia phage Emianna	dsDNA
Foxborovirus	Emilbogenvirinae	Zierdtviridae	MH727547	Gordonia phage Foxboro	dsDNA
Gruunavirus	Emilbogenvirinae	Zierdtviridae	MG757157	Gordonia phage Flapper	dsDNA
Gruunavirus	Emilbogenvirinae	Zierdtviridae	JF923797	Gordonia phage GRU1	dsDNA
Kablunavirus	Emilbogenvirinae	Zierdtviridae	MH779499	Gordonia phage Buggaboo	dsDNA
Kablunavirus	Emilbogenvirinae	Zierdtviridae	MF919510	Gordonia phage Kabluna	dsDNA
Pleakleyvirus	Emilbogenvirinae	Zierdtviridae	MH576960	Gordonia phage Pleakley	dsDNA
Skysandvirus	Emilbogenvirinae	Zierdtviridae	MK977699	Gordonia Phage Lollipop1437	dsDNA
Skysandvirus	Emilbogenvirinae	Zierdtviridae	MF919542	Gordonia phage Patio	dsDNA
Sukkupivirus	Emilbogenvirinae	Zierdtviridae	MK433272	Gordonia phage IDyn	dsDNA
Sukkupivirus	Emilbogenvirinae	Zierdtviridae	MH669007	Gordonia phage Marietta	dsDNA
Ceetrepovirus	Toshachvirinae	Zierdtviridae	MG198776	Corynebacterium phage C3PO	dsDNA
Ceetrepovirus	Toshachvirinae	Zierdtviridae	MG198777	Corynebacterium phage Darwin	dsDNA
Chunghsingvirus	Toshachvirinae	Zierdtviridae	DQ499600	Corynebacterium phage P1201	dsDNA
Alegriavirus	Jacobvirinae	Zimmerviridae	LR595859	Escherichia phage 2B8	dsDNA
Bievrevirus	Jacobvirinae	Zimmerviridae	LR595864	Escherichia phage 4A7	dsDNA
Glaedevirus	Jacobvirinae	Zimmerviridae	LR595862	Escherichia phage 2H10	dsDNA
Jouyvirus	Jacobvirinae	Zimmerviridae	LR597643	Escherichia phage ev017	dsDNA
Jouyvirus	Jacobvirinae	Zimmerviridae	LR597636	Escherichia phage ev207	dsDNA
Lambdavirus	Jacobvirinae	Zimmerviridae	EU078592	Escherichia phage DE3	dsDNA
Lambdavirus	Jacobvirinae	Zimmerviridae	JQ182735	Escherichia phage HK629	dsDNA
Nesevirus	Jacobvirinae	Zimmerviridae	LR597639	Escherichia phage ev243	dsDNA
Nesevirus	Jacobvirinae	Zimmerviridae	LR595866	Escherichia phage 2G7b	dsDNA
Radostvirus	Jacobvirinae	Zimmerviridae	LR597635	Escherichia phage ev099	dsDNA
Dotonborivirus	Wollmanvirinae	Zimmerviridae	MF807953	Escherichia phage Ayreon	dsDNA
Dotonborivirus	Wollmanvirinae	Zimmerviridae	AB285204	Enterobacteria phage cdtI	dsDNA
Limmatquaivirus	Wollmanvirinae	Zimmerviridae	JQ182728	Enterobacteria phage mEp460	dsDNA
Limmatquaivirus	Wollmanvirinae	Zimmerviridae	LR595868	Escherichia virus mEp460_4F5	dsDNA
Vilvertvirus	Wollmanvirinae	Zimmerviridae	LR597641	Escherichia phage mEp460_ev081	dsDNA
Essonnevirus		Zimmerviridae	NC_010393	Salmonella typhimurium phage Gifsy-1	dsDNA
Schuylkillvirus		Zimmerviridae	NC_010391	Salmonella phage Fels-1	dsDNA
Yvettevirus		Zimmerviridae	NC_010392	Salmonella typhimurium phage Gifsy-1	dsDNA
Siovirus	Cobavirinae	Zobellviridae	AF189021	Roseobacter phage SIO1	dsDNA
Siovirus	Cobavirinae	Zobellviridae	JQ809650	Celeribacter phage P12053L	dsDNA
Veravirus	Cobavirinae	Zobellviridae	MF431616	Lentibacter phage vB_LenP_ICBM2	dsDNA
Citrovirus		Zobellviridae	KP774835	Citrobacter phage CVT22	dsDNA
Icepovirus		Zobellviridae	HQ641345	Vibrio phage ICP2	dsDNA
Melvirus		Zobellviridae	KF302037	Pseudoalteromonas phage HP1	dsDNA
Melvirus		Zobellviridae	KC751414	Pseudoalteromonas phage RIO-1	dsDNA
Paundecimvirus		Zobellviridae	DQ163915	Pseudomonas phage PA11	dsDNA
Salinovirus		Zobellviridae	JQ446452	Salinivibrio phage CW02	dsDNA
Vipivirus		Zobellviridae	AY095314	Vibrio phage VpV262	dsDNA
Mapvirus	Alphabravovirinae		JX901189	Mycobacterium phage FF47	dsDNA
Mapvirus	Alphabravovirinae		KF024728	Mycobacterium phage Muddy	dsDNA
Merionvirus	Alphabravovirinae		ON108645	Mycobacterium phage NoShow	dsDNA
Siouxcentervirus	Alphabravovirinae		MK279840	Mycobacterium phage JacoRen57	dsDNA
Amaduovirus	Alvaradovirinae		MT241607	Achromobacter phage AMA2	dsDNA
Amaduovirus	Alvaradovirinae		KP202970	Achromobacter phage 83-24	dsDNA
Nyaakvirus	Alvaradovirinae		MT241605	Achromobacter phage AMA1	dsDNA
Nyaakvirus	Alvaradovirinae		MH746817.2	Achromobacter phage vB_Ade_ART	dsDNA
Steinhofvirus	Alvaradovirinae		KP202969	Achromobacter phage JWX	dsDNA
Steinhofvirus	Alvaradovirinae		OQ817844	Achromobacter phage SE2	dsDNA
Haetaevirus	Andregratiavirinae		KT070867	Bacillus phage PBC2	dsDNA
Kirovvirus	Andregratiavirinae		MW084976	Bacillus phage Kirov	dsDNA
Denvervirus	Andrewesvirinae		MT939241	Enterococcus phage 9183	dsDNA
Vipetofemvirus	Andrewesvirinae		MT119360	Enterococcus phage nattely	dsDNA
Vipetofemvirus	Andrewesvirinae		MT119361	Enterococus phage vipetofem	dsDNA
Arequatrovirus	Arquatrovirinae		JX262376	Streptomyces phage phiELB20	dsDNA
Arequatrovirus	Arquatrovirinae		MH001460	Streptomyces phage Paedore	dsDNA
Caelumvirus	Arquatrovirinae		MN234208	Streptomyces phage Alvy	dsDNA
Caelumvirus	Arquatrovirinae		MK524524	Streptomyces phage Caelum	dsDNA
Camvirus	Arquatrovirinae		MG298964	Streptomyces phage Alsaber	dsDNA
Camvirus	Arquatrovirinae		KT186228	Streptomyces phage Amela	dsDNA
Celiavirus	Arquatrovirinae		MN062705	Streptomyces phage Celia	dsDNA
Hautrevirus	Arquatrovirinae		JX182369	Streptomyces phage phiHau3	dsDNA
Janusvirus	Arquatrovirinae		MH669004	Streptomyces phage Hank144	dsDNA
Janusvirus	Arquatrovirinae		MK392366	Streptomyces phage Janus	dsDNA
Likavirus	Arquatrovirinae		KT124227	Streptomyces phage Aaronocolus	dsDNA
Likavirus	Arquatrovirinae		KT152029	Streptomyces phage Caliburn	dsDNA
Omarvirus	Arquatrovirinae		MF766044	Streptomyces phage Amethyst	dsDNA
Omarvirus	Arquatrovirinae		MF766046	Streptomyces phage Diane	dsDNA
Salutenavirus	Arquatrovirinae		MT708548	Streptomyces phage Salutena	dsDNA
Sentinelvirus	Arquatrovirinae		MT701597	Streptomyces phage Sentinel	dsDNA
Sentinelvirus	Arquatrovirinae		MT701594	Streptomyces phage Spernnie	dsDNA
Yosifvirus	Arquatrovirinae		MH248947	Streptomyces phage Yosif	dsDNA
Dubowvirus	Azeredovirinae		MK658834	Staphylococcus phage Baq_Sau1	dsDNA
Dubowvirus	Azeredovirinae		AF424781	Staphylococcus phage phi 11	dsDNA
Phietavirus	Azeredovirinae		MK290764	Staphylococcus phage B122	dsDNA
Phietavirus	Azeredovirinae		KP893289	Staphylococcus phage B166	dsDNA
Acadianvirus	Bclasvirinae		JN699007	Mycobacterium phage Acadian	dsDNA
Acadianvirus	Bclasvirinae		KR080199	Mycobacterium phage Baee	dsDNA
Birdsnestvirus	Bclasvirinae		MN813686	Mycobacterium phage BirdsNest	dsDNA
Birdsnestvirus	Bclasvirinae		PQ844485	Mycobacterium phage Hashim76	dsDNA
Coopervirus	Bclasvirinae		KF279411	Mycobacterium phage Adawi	dsDNA
Coopervirus	Bclasvirinae		KF279412	Mycobacterium phage Bane1	dsDNA
Imvubuvirus	Bclasvirinae		MN813693	Mycobacterium phage Imvubu	dsDNA
Julieunavirus	Bclasvirinae		KJ433976	Mycobacterium phage Julie1	dsDNA
Lilmcdreamyvirus	Bclasvirinae		MN284893	Mycobacterium phage LilMcDreamy	dsDNA
Pegunavirus	Bclasvirinae		KR781349	Mycobacterium phage Apizium	dsDNA
Pegunavirus	Bclasvirinae		MH450122	Mycobacterium phage KingTut	dsDNA
Pipefishvirus	Bclasvirinae		JN699003	Mycobacterium phage Athena	dsDNA
Pipefishvirus	Bclasvirinae		KF493879	Mycobacterium phage Bernardo	dsDNA
Quesadillavirus	Bclasvirinae		MK059749	Mycobacterium phage CRB2	dsDNA
Quesadillavirus	Bclasvirinae		MN617843	Mycobacterium phage Quesadilla	dsDNA
Rosebushvirus	Bclasvirinae		KR997932	Mycobacterium phage Godines	dsDNA
Rosebushvirus	Bclasvirinae		KX443696	Mycobacterium phage Laurie	dsDNA
Saguarovirus	Bclasvirinae		MH744423	Mycobacterium phage Saguaro	dsDNA
Thonkovirus	Bclasvirinae		MH632120	Mycobacterium phage Thonko	dsDNA
Bixiavirus	Beaumontvirinae		MN937349	Stenotrophomonas phage vB_SmaS_BUCT548	dsDNA
Bixiavirus	Beaumontvirinae		MZ398241	Stenotrophomonas phage BUCT626	dsDNA
Salvavirus	Beaumontvirinae		MW393850	Stenotrophomonas phage Salva	dsDNA
Siaravirus	Beaumontvirinae		MZ326859	Stenotrophomonas phage Siara	dsDNA
Flowerpowervirus	Beephvirinae		MH155868	Streptomyces phage FlowerPower	dsDNA
Immanueltrevirus	Beephvirinae		MG518520	Streptomyces phage Immanuel3	dsDNA
Manuelvirus	Beephvirinae		MN994275	Streptomyces phage JXY1	dsDNA
Manuelvirus	Beephvirinae		MG518519	Streptomyces phage Manuel	dsDNA
Biseptimavirus	Bronfenbrennervirinae		KF831354	Staphylococcus phage phiBU01	dsDNA
Biseptimavirus	Bronfenbrennervirinae		AY508486	Staphylococcus phage 77	dsDNA
Peeveelvirus	Bronfenbrennervirinae		FJ713816	Staphylococcus phage phiPVL-CN125	dsDNA
Peeveelvirus	Bronfenbrennervirinae		KC342645	Staphylococcus phage JS01	dsDNA
Gotuavirus	Cardingvirinae		FJ008913	Bacteroides phage B40-8	dsDNA
Gotuavirus	Cardingvirinae		HE608841	Bacteroides phage B124-14	dsDNA
Kherlenvirus	Cardingvirinae		OP172666	Bacteroides phage BF486P1	dsDNA
Kherlenvirus	Cardingvirinae		OP172673	Bacteroides phage BF695P2	dsDNA
Bixzunavirus	Ceeclamvirinae		JF704092	Mycobacterium phage Alice	dsDNA
Bixzunavirus	Ceeclamvirinae		KC691257	Mycobacterium phage Astraea	dsDNA
Myrnavirus	Ceeclamvirinae		EU826466	Mycobacterium phage Myrna	dsDNA
Myrnavirus	Ceeclamvirinae		MF668280	Mycobacterium phage Phabba	dsDNA
Aziravirus	Ceeteevirinae		OQ709211	Gordonia phage Azira	dsDNA
Aziravirus	Ceeteevirinae		OR553910	Gordonia phage Fribs8	dsDNA
Emalynvirus	Ceeteevirinae		PP208920	Gordonia phage BillDoor	dsDNA
Emalynvirus	Ceeteevirinae		KU998239	Gordonia phage Cozz	dsDNA
Margaretvirus	Ceeteevirinae		ON970621	Gordonia phage Button	dsDNA
Margaretvirus	Ceeteevirinae		OL455888	Gordonia phage GiKK	dsDNA
Ponsvirus	Ceeteevirinae		MT776810	Gordonia phage BigChungus	dsDNA
Ponsvirus	Ceeteevirinae		MN284906	Gordonia phage CherryonLim	dsDNA
Brujitavirus	Chebruvirinae		JN699001	Mycobacterium phage Babsiella	dsDNA
Brujitavirus	Chebruvirinae		FJ168659	Mycobacterium phage Brujita	dsDNA
Elesarvirus	Daemsvirinae		MK392368	Arthrobacter phage Elesar	dsDNA
Nanditavirus	Daemsvirinae		ON392166	Arthrobacter phage Cole	dsDNA
Nanditavirus	Daemsvirinae		MH834621	Arthrobacter phage Nandita	dsDNA
Hawkeyevirus	Dclasvirinae		KJ194582	Mycobacterium phage Hawkeye	dsDNA
Plotvirus	Dclasvirinae		DQ398051	Mycobacterium phage Plot	dsDNA
Kenoshavirus	Deejayvirinae		MN204501	Gordonia phage Chikenjars	dsDNA
Kenoshavirus	Deejayvirinae		MN585996	Gordonia phage Crocheter	dsDNA
Secretariatvirus	Deejayvirinae		MT310850	Gordonia phage Secretariat	dsDNA
Tanisvirus	Deejayvirinae		MN585971	Gordonia phage Avazak	dsDNA
Tanisvirus	Deejayvirinae		MN284904	Gordonia phage Tanis	dsDNA
Nevillevirus	Deeyouvirinae		MH651182	Gordonia phage Neville	dsDNA
Nevillevirus	Deeyouvirinae		MT658805	Gordonia phage Rabbitrun	dsDNA
Octobienvirus	Deeyouvirinae		OK040786	Gordonia phage Kudefre	dsDNA
Octobienvirus	Deeyouvirinae		MH976515	Gordonia phage Octobien14	dsDNA
Lambovirus	Dovevirinae		OR475261	Gordonia phage BirthdayBoy	dsDNA
Lambovirus	Dovevirinae		OR475273	Gordonia phage Erutan	dsDNA
Xeniaduovirus	Dovevirinae		PP725409	Gordonia phage Xenia2	dsDNA
Hualiencityvirus	Dravavirinae		OK632025	Elizabethkingia phage TCUEAP2	dsDNA
Rodicavirus	Dravavirinae		OR296437	Bacteroides phage C1_85S2P	dsDNA
Rodicavirus	Dravavirinae		OP172815	Parabacteroides phage PD491P1	dsDNA
Tongtianvirus	Dravavirinae		OP172640	Alistipes phage AS73P1	dsDNA
Anclarvirus	Durvirinae		MN908693.1	Gordonia phage AnClar	dsDNA
Anclarvirus	Durvirinae		ON260813.1	Gordonia phage BiggityBass	dsDNA
Duluthvirus	Durvirinae		OP751153.1	Gordonia phage LittleMunchkin	dsDNA
Ligmavirus	Durvirinae		OM105886	Gordonia phage Ligma	dsDNA
Ligmavirus	Durvirinae		MT657335	Gordonia phage Mariokart	dsDNA
Mossrosevirus	Durvirinae		ON108644	Gordonia phage CaiB	dsDNA
Mossrosevirus	Durvirinae		PQ184807	Gordonia phage MakoManhole	dsDNA
Nhagosvirus	Durvirinae		MN369758.1	Gordonia phage Nhagos	dsDNA
Akonivirus	Eekayvirinae		MK757449	Microbacterium phage Akoni	dsDNA
Akonivirus	Eekayvirinae		MT310890	Microbacterium phage Phedro	dsDNA
Tinytimothyvirus	Eekayvirinae		MK894435	Microbacterium phage Alex44	dsDNA
Tinytimothyvirus	Eekayvirinae		MK878904	Microbacterium phage TinyTimothy	dsDNA
Corgivirus	Feeclasvirinae		MH834607	Arthrobacter phage Corgi	dsDNA
Idahovirus	Feeclasvirinae		MK757448	Arthrobacter phage Idaho	dsDNA
Noelyvirus	Feeclasvirinae		MH834622	Arthrobacter phage Noely	dsDNA
Hinxtonvirus	Ferrettivirinae		KT337339	Streptococcus phage phiARI0004	dsDNA
Hinxtonvirus	Ferrettivirinae		KT337340	Streptococcus phage phiARI0031	dsDNA
Norfolkplacevirus	Ferrettivirinae		KT337365	Streptococcus phage phiARI0746	dsDNA
Norfolkplacevirus	Ferrettivirinae		KY065456	Streptococcus phage IPP15	dsDNA
Spinunavirus	Ferrettivirinae		KT337349	Streptococcus phage phiARI0399	dsDNA
Spinunavirus	Ferrettivirinae		KT337341	Streptococcus phage phiARI0131-1	dsDNA
Branvirus	Frobishervirinae		MK977714	Corynebacterium phage Bran	dsDNA
Samwavirus	Frobishervirinae		MK977715	Corynebacterium phage Adelaide	dsDNA
Samwavirus	Frobishervirinae		MK977706	Corynebacterium phage Dina	dsDNA
Antsirabevirus	Gclasvirinae		MN234183	Mycobacterium phage Antsirabe	dsDNA
Avocadovirus	Gclasvirinae		MF141540	Mycobacterium phage Avocado	dsDNA
Avocadovirus	Gclasvirinae		KR080198	Mycobacterium phage Cambiare	dsDNA
Jolieduovirus	Gclasvirinae		KJ410133	Mycobacterium phage Jolie2	dsDNA
Jolieduovirus	Gclasvirinae		MN234185	Mycobacterium phage Lemuria	dsDNA
Liefievirus	Gclasvirinae		MH779505	Mycobacterium phage Grizzly	dsDNA
Liefievirus	Gclasvirinae		DQ398042	Mycobacterium phage Halo	dsDNA
Pinnievirus	Gclasvirinae		KR080202	Mycobacterium phage MOOREtheMARYer	dsDNA
Pinnievirus	Gclasvirinae		MK494105	Mycobacterium phage Pinnie	dsDNA
Dragolirvirus	Gochnauervirinae		MG727697	Paenibacillus phage Dragolir	dsDNA
Harrisonvirus	Gochnauervirinae		KT361651	Paenibacillus phage Harrison	dsDNA
Vegasvirus	Gochnauervirinae		KT361654	Paenibacillus phage Vegas	dsDNA
Wanderervirus	Gochnauervirinae		MH431930	Paenibacillus phage Wanderer	dsDNA
Avanivirus	Gracegardnervirinae		JQ809702	Mycobacterium phage Avani	dsDNA
Avanivirus	Gracegardnervirinae		AY129336	Mycobacterium phage Che9d	dsDNA
Cheoctovirus	Gracegardnervirinae		MH744415	Mycobacterium phage ArcusAngelus	dsDNA
Cheoctovirus	Gracegardnervirinae		GU060500	Mycobacterium phage Ardmore	dsDNA
Cornievirus	Gracegardnervirinae		MN908688	Mycobacterium phage Cornie	dsDNA
Moomoovirus	Gracegardnervirinae		MH001449	Mycobacterium phage MooMoo	dsDNA
Squirtyvirus	Gracegardnervirinae		KM101124	Mycobacterium phage Squirty	dsDNA
Thetabobvirus	Gracegardnervirinae		MH651187	Mycobacterium phage Renaud18	dsDNA
Thetabobvirus	Gracegardnervirinae		MH077585	Mycobacterium phage TChen	dsDNA
Beetrevirus	Guarnerosvirinae		AF232233	Pseudomonas phage B3	dsDNA
Mechnikovvirus	Guarnerosvirinae		MK511059	Pseudomonas phage vB_Pae_CF78a	dsDNA
Mechnikovvirus	Guarnerosvirinae		JX495043	Pseudomonas phage JBD67	dsDNA
Torontovirus	Guarnerosvirinae		MH719189	Pseudomonas phage Fc02	dsDNA
Torontovirus	Guarnerosvirinae		MH719191	Pseudomonas phage Fc22	dsDNA
Carmenvirus	Gutmannvirinae		MG784342	Bacillus phage Carmen17	dsDNA
Carmenvirus	Gutmannvirinae		MH598512	Bacillus phage Wes44	dsDNA
Layangavirus	Gutmannvirinae		ON366410	Bacillus phage vB_BceS_LY1	dsDNA
Layangbvirus	Gutmannvirinae		OP646176	Bacillus phage vB_BceS_LY5	dsDNA
Pebcunavirus	Gutmannvirinae		JQ619704	Bacillus phage PBC1	dsDNA
Kenyattavirus	Heleneionescovirinae		MH884508	Bacillus phage vB_BcoS-136	dsDNA
Zhangjivirus	Heleneionescovirinae		OM236516	Bacillus phage FADO	dsDNA
Zhangjivirus	Heleneionescovirinae		OM634653	Bacillus phage vB_BsuS_PJN02	dsDNA
Byrnievirus	Hendrixvirinae		AF069529	Escherichia phage HK97	dsDNA
Cuauhtlivirus	Hendrixvirinae		JQ182727	Escherichia phage mEpX1	dsDNA
Kwaitsingvirus	Hendrixvirinae		JQ086372	Escherichia phage HK446	dsDNA
Kwaitsingvirus	Hendrixvirinae		JQ086374	Escherichia phage HK544	dsDNA
Nochtlivirus	Hendrixvirinae		JQ182731	Enterobacteria phage mEp235	dsDNA
Saikungvirus	Hendrixvirinae		HM173637	Escherichia phage HK75	dsDNA
Saikungvirus	Hendrixvirinae		JQ086377	Escherichia phage HK633	dsDNA
Shamshuipovirus	Hendrixvirinae		AF069308	Escherichia phage HK022	dsDNA
Shamshuipovirus	Hendrixvirinae		JQ182726	Escherichia phage mEpX2	dsDNA
