Genus	Median Genome Length (KB)	Min Genome Length (KB)	Max Genome Length (KB)	Median molGC (%)	Min molGC (%)	Max molGC (%)	Sample Size
Septuagintavirus	143.5	142	145	41.0	41	41	2
Seunavirus	148.0	146	149	46.0	45	46	4
Vequintavirus	137.0	129	144	44.0	43	44	36
Amginevirus	62.0	62	62	67.0	66	67	5
Aminayvirus	60.0	60	60	68.0	68	68	1
Anayavirus	61.0	56	63	67.0	66	69	28
Fionnbharthvirus	58.0	55	59	68.0	67	68	5
Keshuvirus	61.0	61	62	67.0	67	67	5
Kratiovirus	62.0	60	64	65.0	64	66	9
Timquatrovirus	57.5	53	58	68.0	68	69	4
Unicornvirus	61.0	58	61	67.0	66	67	5
Abaiavirus	42.0	42	42	57.0	57	57	1
Abbeymikolonvirus	43.0	43	43	67.0	67	67	1
Abouovirus	46.0	46	46	39.0	39	39	2
Adaiavirus	16.0	16	16	56.0	56	56	1
Agmunavirus	36.0	36	36	61.0	61	61	1
Aguilavirus	43.5	43	44	51.0	51	51	2
Ahotrevirus	44.0	44	44	44.0	44	44	1
Akiravirus	45.0	45	45	46.0	46	46	1
Alachuavirus	56.0	56	56	52.0	52	52	1
Alcyoneusvirus	346.5	346	347	32.0	32	32	2
Alexandravirus	265.0	260	267	49.0	49	50	12
Amherstvirus	17.0	17	17	54.0	54	54	1
Amigovirus	58.5	58	59	53.0	53	53	2
Amiranvirus	34.0	34	34	36.0	36	36	1
Anamdongvirus	48.0	48	48	46.0	46	46	1
Anatolevirus	35.5	35	36	64.0	64	64	2
Andrewvirus	39.0	39	39	66.0	66	66	1
Anjalivirus	19.5	19	20	59.5	59	60	2
Anthonyvirus	52.0	52	52	61.0	61	61	1
Aokuangvirus	139.0	139	139	52.0	52	52	1
Appavirus	39.0	39	39	68.0	68	68	1
Aquingentivirus	41.0	39	43	37.0	36	37	7
Aramisvirus	43.0	43	43	35.0	35	35	2
Arawnvirus	31.0	31	31	47.0	47	47	1
Archimedesvirus	45.0	45	45	63.0	63	63	1
Armstrongvirus	40.0	40	40	67.0	67	67	1
Arvduovirus	37.0	37	37	63.0	63	63	1
Ashduovirus	43.0	43	43	45.0	45	45	1
Aspduovirus	59.0	59	59	70.0	70	70	1
Asteriusvirus	348.5	348	349	34.0	34	34	2
Astrithrvirus	12.0	12	12	40.0	40	40	1
Athenavirus	37.0	37	37	35.0	35	35	1
Atraxavirus	15.0	15	15	58.0	58	58	1
Attisvirus	46.0	44	48	67.0	67	67	9
Attoomivirus	42.0	42	42	70.0	70	70	1
Audreyjarvisvirus	128.0	115	133	33.0	32	33	7
Aurunvirus	172.0	172	172	41.0	41	41	1
Austintatiousvirus	38.0	36	38	73.0	72	73	3
Axeltriavirus	48.0	48	48	63.0	63	63	1
Backyardiganvirus	51.0	47	52	64.0	64	64	16
Badaztecvirus	19.0	19	19	49.5	49	50	2
Baikalvirus	258.0	258	258	56.0	56	56	1
Bantamvirus	93.0	93	93	65.0	65	65	1
Barbavirus	82.0	80	85	38.0	38	38	5
Barnyardvirus	70.5	70	71	57.5	57	58	2
Bauervirus	50.0	50	50	63.0	63	63	1
Bcepmuvirus	37.0	37	37	63.0	63	63	2
Beceayunavirus	43.0	43	43	36.0	36	36	1
Becedseptimavirus	94.0	94	94	38.0	38	38	1
Beenievirus	48.0	47	48	66.5	66	67	10
Behunavirus	41.0	41	41	45.0	45	45	1
Bendigovirus	83.0	83	83	58.0	58	58	1
Benedictvirus	51.0	47	52	61.0	60	61	14
Bernalvirus	43.0	42	44	66.0	66	66	2
Betterkatzvirus	51.0	51	51	67.0	67	67	1
Bglawtbvirus	69.0	69	69	60.0	60	60	1
Bigmanorsvirus	60.0	60	60	66.0	66	66	1
Bingvirus	56.0	56	56	59.0	59	59	1
Bippervirus	78.0	78	78	67.0	67	67	1
Bismarckvirus	42.0	42	42	65.0	65	65	1
Bjornvirus	46.0	46	46	53.0	53	53	1
Bluefeathervirus	16.0	16	16	64.0	64	64	1
Bocovirus	36.0	36	36	44.0	44	44	1
Bonzeevirus	42.0	42	42	46.0	46	46	4
Borockvirus	113.0	113	113	52.0	52	52	1
Bowservirus	47.0	47	47	67.0	67	67	1
Bridgettevirus	43.0	41	44	65.0	65	65	5
Brigitvirus	62.0	62	62	56.0	56	56	1
Britbratvirus	56.0	56	56	65.0	65	65	1
Brunovirus	41.0	41	41	50.0	50	50	1
Bruynoghevirus	46.0	44	46	52.0	52	52	7
Buchananvirus	47.0	47	47	46.0	46	46	1
Bugaksanvirus	61.0	61	61	59.0	59	59	1
Bunatrivirus	37.0	37	37	35.0	35	35	1
Burrovirus	54.0	54	54	65.0	64	65	3
Busanvirus	156.0	156	156	59.0	59	59	1
Caminolopintovirus	47.0	47	47	46.0	46	46	1
Camtrevirus	42.0	39	44	35.0	35	35	3
Cantarevirus	91.0	91	91	53.0	53	53	1
Capnelvirus	40.0	40	40	65.0	65	65	1
Carnodivirus	57.0	57	57	39.0	39	39	2
Carvajevirus	57.0	57	57	46.0	46	46	1
Casadabanvirus	37.0	35	46	64.0	64	65	23
Cbastvirus	79.0	79	79	30.0	30	30	1
Cecivirus	55.0	53	57	36.0	36	36	2
Cedarrivervirus	46.0	46	46	46.0	46	46	1
Ceduovirus	22.0	20	23	36.0	35	36	32
Cequinquevirus	32.5	30	34	42.0	41	42	6
Chakrabartyvirus	158.0	158	158	53.0	53	53	1
Chenonavirus	56.5	56	57	65.5	65	66	2
Chertseyvirus	25.0	25	25	38.0	38	38	1
Chewyvirus	69.0	69	69	62.0	62	62	1
Chidieberevirus	90.0	89	91	60.0	60	60	2
Chopinvirus	79.0	79	79	35.0	35	35	1
Chymeravirus	35.0	35	35	71.0	71	71	1
Cimandefvirus	58.0	55	61	65.0	65	65	5
Cimpunavirus	59.0	59	59	57.0	57	57	1
Cinunavirus	57.0	57	57	62.0	62	62	1
Clawzvirus	58.0	58	58	65.0	65	65	1
Coatlandelriovirus	45.0	45	45	62.0	62	62	1
Cobrasixvirus	48.0	48	48	53.0	53	53	1
Coetzeevirus	38.0	37	38	48.0	39	48	3
Coeurvirus	16.0	16	16	68.0	68	68	1
Colneyvirus	50.0	48	51	29.0	29	30	5
Colunavirus	39.0	34	39	45.0	45	45	3
Coralvirus	38.0	38	38	67.0	67	67	2
Corndogvirus	71.5	70	73	65.0	65	65	4
Coventryvirus	41.0	40	43	36.0	35	36	7
Craquatrovirus	57.5	57	58	37.0	37	37	2
Orchidvirus	81.0	81	81	47.0	47	47	1
Cronusvirus	36.0	36	36	65.0	65	65	1
Cukevirus	69.0	69	69	49.0	49	49	1
Daredevilvirus	90.0	90	90	65.0	65	65	1
Decurrovirus	16.0	16	16	60.0	60	60	1
Delepquintavirus	97.0	97	97	58.0	58	58	1
Delfunavirus	40.0	40	40	35.0	35	35	1
Delislevirus	12.0	12	12	27.0	27	27	1
Demosthenesvirus	74.5	74	75	59.0	59	59	2
Denisevirus	45.0	45	45	65.0	65	65	1
Deseoctovirus	46.0	45	47	47.0	47	47	2
Detrevirus	55.0	54	56	57.5	57	58	2
Deurplevirus	36.0	36	36	38.0	38	38	1
Dhillonvirus	45.0	37	47	55.0	54	55	49
Dibbivirus	50.0	50	50	52.0	52	52	3
Dinavirus	39.0	39	39	65.0	65	65	1
Dismasvirus	42.0	42	42	70.0	70	70	1
Dolmabahcevirus	94.0	94	94	73.0	73	73	1
Donellivirus	498.0	498	498	30.0	30	30	1
Doucettevirus	37.5	37	39	65.5	65	66	4
Dubuvirus	40.0	40	40	69.0	69	69	1
Dybvigvirus	17.0	17	17	50.0	50	50	1
Eagleeyevirus	53.0	53	53	61.0	61	61	1
Edenvirus	41.0	41	41	66.0	66	66	1
Edwardsroadvirus	14.0	14	14	68.0	68	68	1
Efemquintavirus	42.0	42	42	36.0	36	36	1
Efemunavirus	42.5	42	43	35.0	35	35	2
Efquatrovirus	41.0	38	42	35.0	34	35	15
Efunavirus	140.0	138	142	32.0	32	32	2
Eiauvirus	43.0	43	43	55.0	55	55	1
Eisenstarkvirus	44.0	44	44	56.0	56	56	1
Elemovirus	60.5	60	62	32.0	32	32	6
Elerivirus	40.0	40	40	62.0	62	62	1
Elmenteitavirus	59.0	59	59	49.0	49	49	1
Emdodecavirus	195.0	188	207	49.0	49	49	3
Emirosevirus	37.0	37	37	56.0	56	56	1
Emperorvirus	16.5	16	17	70.0	70	70	2
Eneladusvirus	355.5	354	357	33.0	32	34	2
Enfavirus	45.0	45	45	43.0	43	43	1
Enhodamvirus	40.0	39	40	51.0	50	51	3
Eponavirus	50.0	50	50	57.0	57	57	1
Ericdabvirus	17.0	17	17	69.0	69	69	1
Eurybiavirus	181.0	181	184	38.0	38	38	3
Eyrevirus	45.0	45	45	67.0	67	67	1
Fairfaxidumvirus	50.0	50	51	67.0	67	67	3
Fajavirus	52.0	52	52	63.0	63	63	1
Farahnazvirus	59.0	59	59	63.0	63	63	1
Fattrevirus	39.0	39	39	45.0	45	45	1
Feofaniavirus	47.0	47	47	50.5	50	51	2
Fernvirus	39.5	36	44	42.0	41	43	18
Fibralongavirus	42.0	41	43	37.0	37	37	2
Ficleduovirus	46.5	46	47	30.0	30	30	2
Finchvirus	139.0	139	139	63.0	63	63	1
Finkelvirus	48.0	48	48	67.0	67	67	1
Fipvunavirus	88.5	88	89	27.0	27	27	2
Firingavirus	40.0	40	40	60.0	60	60	2
Footloosevirus	40.0	40	40	62.0	62	62	1
Forzavirus	114.0	114	114	53.0	53	53	1
Fowlmouthvirus	70.0	70	70	49.0	49	49	1
Foxquatrovirus	60.0	60	60	62.0	62	62	1
Foxunavirus	44.0	44	45	59.0	59	59	4
Franklinbayvirus	105.0	105	105	37.0	37	37	1
Fremauxvirus	55.0	54	56	34.0	34	34	2
Fromanvirus	52.0	49	54	64.0	61	65	38
Fukuivirus	165.5	162	169	46.0	46	46	2
Fuzanglongvirus	90.0	90	90	69.0	69	69	1
Gaiavirus	90.0	90	90	57.0	57	57	1
Galaxyvirus	38.5	38	39	68.5	68	69	2
Galunavirus	50.0	50	50	64.0	64	64	1
Gamtrevirus	78.0	78	78	51.0	51	51	1
Gervaisevirus	61.0	57	61	64.0	64	65	3
Getseptimavirus	73.5	73	74	57.0	57	57	2
Ghobesvirus	45.0	45	45	65.0	65	65	1
Gilesvirus	54.5	54	55	67.0	67	67	2
Gilgameshvirus	129.0	129	129	71.0	71	71	1
Gillianvirus	62.0	62	62	67.0	67	67	1
Gimaduovirus	103.0	103	103	53.0	53	53	1
Gladiatorvirus	52.0	49	53	61.0	61	62	10
Godonkavirus	122.0	121	123	54.5	54	55	2
Gofduovirus	42.0	41	43	51.0	51	51	2
Goodmanvirus	42.0	42	42	66.0	66	66	1
Gordonvirus	58.0	58	59	50.0	50	50	13
Gordtnkvirus	76.0	76	76	51.0	51	51	1
Gorganvirus	55.0	55	55	36.0	36	36	1
Gorjumvirus	78.0	78	78	54.0	54	54	1
Grutrevirus	18.0	18	18	66.5	66	67	2
Gustavvirus	43.0	42	44	67.0	67	68	3
Hafyongvirus	43.0	43	43	48.0	48	48	1
Haihevirus	54.0	54	54	59.0	59	59	1
Halcyonevirus	56.0	50	56	49.0	48	49	5
Halfdanvirus	43.0	43	43	54.0	54	54	1
Hapunavirus	38.5	38	39	58.0	57	59	2
Harrisonburgvirus	44.0	44	44	63.0	63	63	1
Hattifnattvirus	39.0	39	39	29.0	29	29	1
Hedwigvirus	45.0	45	45	67.0	67	67	1
Heilongjiangvirus	43.0	43	43	42.0	42	42	1
Helsingorvirus	39.0	39	39	37.0	36	37	3
Hestiavirus	51.0	51	51	62.0	62	62	1
Hiroshimavirus	44.0	44	44	61.0	61	61	1
Hiyaavirus	83.0	83	83	67.0	67	67	1
Hnatkovirus	61.0	61	61	68.0	68	68	1
Hollowayvirus	64.0	63	65	63.0	63	64	7
Holosalinivirus	35.5	35	36	65.0	65	65	2
Homburgvirus	67.0	65	67	36.0	36	37	5
Howevirus	53.0	53	53	66.0	66	66	2
Hubeivirus	44.0	43	45	35.0	35	35	2
Hulijingvirus	50.0	50	50	59.0	59	59	1
Hungariovirus	42.0	42	42	55.0	55	55	1
Iaduovirus	34.0	34	34	46.0	46	46	1
Ibantikvirus	56.0	56	56	57.0	57	57	1
Identitycrisisvirus	38.0	38	38	65.0	65	65	1
Ignaciovirus	38.0	37	38	71.0	71	71	8
Ikedavirus	44.0	43	45	51.0	51	51	2
Ilzatvirus	42.0	42	43	63.0	63	64	5
Immutovirus	160.0	160	160	35.0	35	35	1
Incheonvirus	49.5	49	50	29.0	29	29	2
Indlulamithivirus	72.0	72	72	53.0	53	53	1
Inhavirus	36.0	36	36	36.0	36	36	2
Iodovirus	47.0	47	47	46.0	46	46	1
Ionavirus	157.0	157	157	56.0	56	56	1
Isoldevirus	53.0	53	53	63.0	63	63	1
Ittyvirus	62.0	62	62	66.0	66	66	1
Jacevirus	54.0	54	54	67.0	67	67	1
Jarrellvirus	41.0	41	41	42.0	42	42	1
Jasminevirus	46.0	45	47	46.0	46	46	2
Jenstvirus	126.0	126	126	43.0	43	43	1
Jimmervirus	53.5	53	54	38.0	38	38	2
Juiceboxvirus	41.0	41	41	68.0	68	68	1
Jujuvirus	53.5	52	54	67.0	67	67	6
Junavirus	41.0	39	44	45.0	45	45	3
Kafunavirus	42.0	42	42	48.0	48	48	1
Kairosalinivirus	51.5	51	52	59.5	59	60	2
Kamchatkavirus	52.0	52	52	38.0	38	38	1
Apricotvirus	52.0	52	52	63.0	63	63	1
Kelleziovirus	59.0	59	59	63.0	63	63	2
Kelquatrovirus	42.0	42	42	63.0	63	63	1
Kimonavirus	50.0	50	50	64.0	64	64	1
Klausavirus	70.5	69	71	62.0	61	62	6
Kleczkowskavirus	53.0	53	53	56.0	56	56	1
Klementvirus	44.0	44	44	53.0	53	53	1
Knuthellervirus	48.0	48	48	55.0	55	55	1
Kochitakasuvirus	64.0	64	64	60.0	60	60	2
Kojivirus	39.5	39	40	64.0	64	64	2
Konstantinevirus	69.0	69	69	57.0	57	57	1
Korravirus	44.0	43	44	61.0	61	62	22
Kostyavirus	76.0	74	76	63.0	63	63	9
Krampusvirus	57.0	57	57	64.0	64	64	1
Krompvirus	58.0	58	58	71.0	71	71	1
Kronosvirus	42.0	42	43	66.0	66	66	3
Krylovvirus	46.0	46	46	53.0	53	53	1
Kryptosalinivirus	53.5	53	54	53.0	53	53	2
Kuleanavirus	39.0	39	39	66.0	66	66	1
Kumottavirus	39.5	39	40	61.0	61	61	2
Kungbxnavirus	235.0	235	235	29.0	29	29	1
Kunmingvirus	42.5	42	43	56.0	56	56	2
Lacfervirus	41.0	41	41	46.0	46	46	1
Lacnuvirus	36.0	36	36	44.0	44	44	1
Lacusarxvirus	130.0	130	130	60.0	60	60	1
Lafunavirus	43.0	43	43	45.0	45	45	1
Lagaffevirus	48.0	48	48	56.0	56	56	1
Lanavirus	88.0	88	88	61.0	61	61	1
Larmunavirus	40.0	40	40	45.0	45	45	1
Laroyevirus	60.0	60	60	65.0	65	65	4
Lastavirus	62.0	62	62	56.5	56	57	2
Latrobevirus	131.0	131	131	25.0	25	25	1
Lederbergvirus	41.0	38	42	47.0	47	48	6
Leicestervirus	42.0	41	42	31.0	31	31	3
Lentavirus	31.0	31	31	51.0	51	51	1
Lessievirus	63.0	62	64	66.0	65	66	4
Lietduovirus	75.0	75	75	54.0	54	54	1
Lightbulbvirus	145.5	145	146	33.0	33	33	2
Lillamyvirus	38.0	38	39	29.0	29	30	6
Lilspottyvirus	50.0	50	50	65.0	65	65	1
Lilyvirus	45.0	45	45	43.0	43	43	1
Lishizhenvirus	49.0	49	49	59.0	59	59	1
Llyrvirus	208.0	208	208	36.0	36	36	1
Lokivirus	42.0	41	43	44.5	44	45	2
Loughboroughvirus	54.0	54	54	46.0	46	46	1
Lubbockvirus	53.5	53	54	28.5	28	29	2
Luchadorvirus	53.0	52	54	62.0	62	62	3
Luckybarnesvirus	51.0	51	51	62.0	62	62	1
Luckytenvirus	43.0	43	43	65.0	65	65	1
Lughvirus	34.0	34	34	60.0	60	60	1
Lwoffvirus	37.0	37	37	38.0	38	38	2
Macdonaldcampvirus	45.0	45	45	46.0	46	46	2
Magadivirus	59.0	59	59	45.0	45	45	1
Magiavirus	45.0	45	45	65.0	65	65	1
Majavirus	37.0	37	37	65.0	65	65	1
Malagasyrosevirus	54.0	54	54	65.0	65	65	1
Malkevirus	33.5	32	37	40.0	40	41	4
Manovirus	42.0	42	42	64.0	64	64	1
Mardecavirus	77.5	76	79	49.5	49	50	2
Mareflavirus	38.0	38	38	50.0	50	50	1
Marfavirus	170.0	169	171	41.0	41	41	2
Marienburgvirus	57.5	57	58	51.0	51	51	2
Marvinvirus	65.0	65	65	63.0	63	63	2
Maxrubnervirus	87.0	87	87	60.0	60	60	1
Mboduovirus	83.0	83	83	64.0	64	64	1
Mboquatrovirus	46.0	46	46	65.0	65	65	1
Mcgonagallvirus	17.0	17	17	69.0	69	69	1
Medeavirus	59.0	59	59	58.0	58	58	1
Melbournevirus	49.0	49	49	65.0	65	65	1
Menderavirus	160.0	159	161	54.0	54	54	4
Metrivirus	235.0	235	235	31.0	31	31	1
Micavirus	44.0	44	44	62.0	62	62	1
Microwolfvirus	50.0	48	51	64.0	64	64	7
Midgardsormrvirus	50.0	50	50	51.0	51	51	1
Miecznikowavirus	55.0	55	55	58.0	58	58	1
Mieseafarmvirus	231.0	231	231	58.0	58	58	1
Mimasvirus	368.5	359	378	36.0	36	36	2
Minunavirus	46.0	46	46	68.0	68	68	1
Mohonavirus	126.0	126	126	37.0	37	37	1
Mollymurvirus	91.0	91	91	66.0	66	66	1
Montyvirus	76.5	76	78	59.0	59	59	10
Moturavirus	221.0	221	221	54.0	54	54	1
Mudcatvirus	58.0	57	59	45.0	45	45	12
Mufasoctovirus	60.0	60	60	66.0	66	66	1
Muldoonvirus	167.5	167	168	42.0	42	42	2
Muminvirus	39.0	37	39	29.0	29	30	5
Murrayvirus	41.5	41	42	59.0	59	59	2
Mushuvirus	37.0	37	37	60.0	60	60	1
Muvirus	37.0	37	37	52.0	52	52	2
Mycoabscvirus	53.0	53	53	64.0	64	64	1
Myoalterovirus	93.0	93	93	38.0	38	38	1
Myradeevirus	51.0	51	51	63.0	63	63	1
Myxoctovirus	50.0	50	50	68.0	68	68	1
Namazuvirus	60.0	60	60	56.0	56	56	1
Nanhaivirus	78.0	78	78	62.0	62	62	1
Neferthenavirus	42.0	42	42	64.0	64	64	1
Nevevirus	54.0	54	56	33.5	33	34	4
Nickievirus	112.0	112	112	57.0	57	57	1
Nonanavirus	53.0	53	53	43.0	43	43	1
Northamptonvirus	61.0	61	61	67.5	67	68	2
Nyceiraevirus	42.0	42	42	68.0	68	68	1
Nylescharonvirus	48.0	48	48	37.0	37	37	2
Oengusvirus	58.0	58	58	50.0	50	50	1
Omegavirus	110.0	106	112	61.0	61	61	6
Oneupvirus	93.0	92	94	61.0	61	61	2
Onyinyevirus	71.0	71	71	59.0	59	59	1
Vhmlvirus	43.0	41	43	51.0	51	51	3
Oscarsovirus	33.0	33	33	69.0	69	69	1
Oshimavirus	83.5	83	84	58.0	58	58	2
Paclarkvirus	38.0	37	40	38.0	38	39	12
Pagevirus	40.0	40	40	41.0	40	41	5
Pahexavirus	29.0	29	30	54.0	54	55	57
Pankowvirus	57.0	55	62	51.0	51	51	5
Papyrusvirus	71.5	71	72	56.0	56	56	2
Parlovirus	63.0	63	63	58.0	58	58	1
Patiencevirus	71.0	71	71	50.0	50	50	1
Pavtokvirus	61.0	61	61	62.5	62	63	2
Pemunavirus	51.0	51	51	41.0	41	41	1
Pepyhexavirus	77.5	77	78	53.0	53	53	2
Perisivirus	39.5	38	41	48.0	48	48	2
Persistencevirus	50.0	50	50	62.0	62	62	1
Phabquatrovirus	94.0	94	94	65.0	65	65	1
Pharaohvirus	51.5	50	53	63.5	63	64	2
Phifelvirus	39.0	36	40	35.0	34	35	3
Phleivirus	50.0	50	50	60.0	60	60	1
Phrappuccinovirus	136.0	136	136	67.0	67	67	1
Picardvirus	40.0	40	40	73.0	73	73	1
Pikminvirus	39.0	39	39	61.0	61	61	1
Piorkowskivirus	33.0	30	35	37.0	37	37	7
Plaisancevirus	103.0	103	103	45.0	45	45	1
Plateaulakevirus	123.5	116	139	35.5	35	36	4
Pleeduovirus	35.0	35	35	45.0	45	45	1
Pleetrevirus	40.0	39	41	45.0	45	45	2
Polybotosvirus	490.0	490	490	37.0	37	37	1
Popoffvirus	44.0	44	44	55.0	55	55	1
Porunavirus	55.0	55	55	56.0	56	56	1
Poushouvirus	40.0	40	40	60.0	60	60	1
Powerballvirus	48.0	48	48	66.0	66	66	1
Predatorvirus	70.0	70	70	56.0	56	56	1
Psavirus	38.0	38	38	35.0	35	35	2
Pukovnikvirus	53.0	52	54	63.0	63	63	4
Pulverervirus	38.0	38	38	65.0	65	65	1
Pumpernickelvirus	186.0	186	186	56.0	56	56	1
Punavirus	103.0	95	115	49.0	47	49	3
Puppervirus	151.0	151	151	66.0	66	66	1
Purivirus	42.0	42	42	58.0	58	58	1
Qingdaovirus	120.0	120	120	36.0	36	36	1
Questintvirus	27.0	27	27	37.0	37	37	1
Quivirus	114.0	114	114	48.0	48	48	1
Rahariannevirus	46.0	46	46	61.0	61	61	1
Raleighvirus	41.0	41	41	72.0	72	72	2
Rauchvirus	42.0	42	42	65.0	65	65	1
Ravarandavirus	145.0	139	147	40.0	40	40	3
Ravinvirus	46.0	46	46	51.0	51	51	1
Readingvirus	51.0	51	51	59.0	58	59	3
Refugevirus	53.5	53	54	63.5	63	64	2
Reqipinevirus	59.0	59	59	67.0	67	67	1
Rerduovirus	47.0	46	48	59.0	59	63	5
Reynauldvirus	81.0	81	81	67.0	67	67	1
Richievirus	51.5	49	54	63.0	63	63	2
Rigallicvirus	56.0	56	56	48.0	48	48	1
Rimavirus	56.0	56	56	59.5	59	60	2
Rivsvirus	267.0	267	267	49.0	49	49	1
Rockefellervirus	43.0	42	44	35.0	35	35	6
Rockvillevirus	41.0	41	41	36.0	36	36	1
Rogerhendrixvirus	98.0	98	98	66.0	66	66	1
Ronaldovirus	67.5	67	68	50.0	50	50	2
Rosariovirus	53.0	53	53	70.0	70	70	1
Rosemountvirus	52.0	52	55	46.0	46	46	5
Roslyckyvirus	59.0	59	59	60.0	60	60	1
Roufvirus	48.0	48	48	47.0	47	47	1
Rovertvirus	39.0	39	39	42.0	42	42	1
Rowavirus	43.0	43	43	61.0	61	61	1
Ruthyvirus	51.5	51	52	67.0	67	67	2
Ryyoungvirus	42.0	42	42	65.0	65	65	1
Sagamiharavirus	52.0	52	52	64.0	64	64	1
Saintgironsvirus	74.0	74	74	39.0	39	39	1
Salmondvirus	254.0	253	255	44.0	44	44	2
Saltrevirus	45.0	45	45	46.0	46	46	1
Samaravirus	45.0	45	45	42.0	42	42	1
Samunavirus	93.0	93	93	55.0	55	55	1
Sandinevirus	40.0	40	40	35.0	35	35	1
Sansavirus	80.0	80	80	66.0	66	66	1
Santafevirus	53.0	53	53	63.0	63	63	1
Santhisvirus	41.0	39	42	67.5	67	68	4
Saphexavirus	57.0	54	59	40.0	40	40	6
Sargevirus	36.0	36	36	63.0	63	63	1
Sarumanvirus	263.5	263	264	58.0	58	58	2
Sasdunavirus	37.0	37	37	66.0	66	66	1
Sashavirus	53.0	53	53	44.0	44	44	1
Sasquatchvirus	261.0	261	261	47.0	47	47	1
Sasvirus	43.0	43	43	56.0	56	56	1
Saundersvirus	48.0	48	48	46.0	46	46	1
Sawaravirus	58.0	58	58	51.0	51	51	1
Scappvirus	43.0	43	43	56.0	56	56	1
Scapunavirus	43.0	43	43	61.0	61	61	1
Schmidvirus	26.0	26	27	36.0	36	36	3
Schmittlotzvirus	69.0	69	69	52.0	52	52	1
Schnabeltiervirus	47.0	47	47	67.0	67	67	1
Schubertvirus	39.0	39	39	61.0	61	61	1
Seahorsevirus	45.0	45	45	43.0	43	43	1
Seamegvirus	56.0	56	56	63.0	63	63	1
Segzyvirus	47.5	47	48	46.0	46	46	2
Sendosyvirus	38.5	37	40	43.5	43	44	2
Seongbukvirus	39.0	39	39	39.0	39	39	1
Sepahanvirus	145.5	145	146	32.0	32	32	2
Serbinvirus	43.0	43	43	52.0	52	52	3
Seussvirus	85.0	85	85	61.0	61	61	1
Sextaecvirus	93.0	92	94	29.5	29	30	2
Sfunavirus	43.0	43	43	69.0	69	69	1
Shandongvirus	132.0	132	132	37.0	37	37	1
Sheenvirus	53.0	53	53	63.0	63	63	1
Sherbrookevirus	33.0	32	34	30.0	29	30	6
Shirahamavirus	225.0	225	225	30.0	30	30	1
Shockervirus	45.0	45	45	63.0	63	63	1
Shoyavirus	38.0	38	38	64.0	64	64	1
Shuimuvirus	48.0	48	48	46.0	46	46	1
Sidiousvirus	52.0	52	52	67.0	67	67	1
Siftrevirus	61.0	61	61	69.0	69	69	1
Silentrexvirus	65.0	65	65	67.0	67	67	1
Sixamavirus	115.0	115	115	53.0	53	53	1
Skarprettervirus	42.0	42	42	56.0	56	56	1
Skatevirus	47.0	45	49	46.0	46	46	7
Skogvirus	152.0	152	152	66.0	66	66	1
Skulduggeryvirus	63.0	63	63	61.0	61	61	1
Skunavirus	31.0	25	33	35.0	34	35	94
Slashvirus	80.5	80	82	35.0	35	35	4
Sleepyheadvirus	44.0	44	44	61.0	61	61	1
Smoothievirus	93.0	93	94	62.0	62	62	3
Snuvirus	266.0	266	266	49.0	49	49	1
Sonalivirus	61.0	61	61	68.0	68	68	1
Sortsnevirus	42.5	42	43	59.5	59	60	2
Soupsvirus	53.0	53	53	62.0	62	62	3
Sozzivirus	46.0	43	46	39.0	39	39	3
Sparkyvirus	63.0	63	63	65.0	65	65	1
Spartoivirus	35.0	35	35	52.0	52	52	1
Spbetavirus	134.0	134	134	35.0	35	35	1
Spizizenvirus	39.0	39	39	43.0	43	43	1
Squashvirus	62.0	62	62	67.0	67	67	2
Stanholtvirus	53.0	49	55	61.0	60	61	3
Stonewallvirus	34.0	34	34	38.0	38	38	1
Stormageddonvirus	136.0	136	136	65.0	65	65	1
Successvirus	57.0	57	57	62.0	62	62	1
Sukhumvitvirus	38.0	38	38	45.0	45	45	1
Svunavirus	35.0	35	35	44.5	44	45	2
Swiduovirus	48.0	48	48	46.0	46	46	1
Syrbvirus	43.0	43	43	64.0	64	64	1
Takahashivirus	252.0	252	252	28.0	28	28	1
Tandoganvirus	41.0	41	41	37.0	37	37	1
Tankvirus	68.0	68	68	63.0	63	63	1
Tantvirus	41.0	41	41	34.0	34	34	1
Taranisvirus	54.0	54	54	56.0	56	56	1
Terapinvirus	67.0	67	67	59.5	59	60	2
Teubervirus	60.0	58	62	34.0	34	34	5
Theosmithvirus	53.0	53	53	36.0	36	36	1
Thiercelinvirus	44.0	44	44	36.0	36	36	1
Thornevirus	222.0	222	222	39.0	39	39	1
Tieomvirus	40.0	40	40	43.0	43	43	1
Tijeunavirus	49.0	49	49	58.0	58	58	1
Timshelvirus	53.0	50	53	63.0	63	63	4
Tinduovirus	76.5	76	77	59.0	59	59	2
Titanvirus	44.0	44	44	55.0	55	55	2
Toutatisvirus	55.0	55	55	54.0	54	54	1
Triavirus	46.0	43	48	33.0	33	34	23
Trigintaduovirus	51.0	51	51	66.0	66	66	2
Trinavirus	139.0	139	139	45.0	45	45	1
Trinevirus	44.0	44	44	68.0	68	68	1
Triplejayvirus	46.0	46	46	65.0	65	65	1
Trogglehumpervirus	84.0	84	84	64.0	64	64	1
Turbidovirus	53.0	50	54	63.0	63	64	13
Typhavirus	76.0	76	76	66.0	66	66	1
Uetakevirus	39.0	39	40	49.5	49	51	4
Uwajimavirus	30.0	30	30	37.0	37	37	1
Valentinivirus	63.0	63	63	67.0	67	67	1
