Genus	Median Genome Length (KB)	Min Genome Length (KB)	Max Genome Length (KB)	Median molGC (%)	Min molGC (%)	Max molGC (%)	Sample Size
Tangaroavirus	47.0	47	48	39.0	39	40	3
Tiamatvirus	45.0	45	45	39.0	39	39	1
Tritonvirus	46.0	46	46	38.0	38	38	2
Actaeavirus	39.0	39	39	49.0	49	49	1
Aegirvirus	45.0	45	45	55.0	55	55	1
Aequorvirus	38.0	38	38	33.0	33	33	1
Ashivirus	45.0	45	45	45.0	45	45	1
Ayaqvirus	41.0	41	41	47.0	47	47	1
Banchanvirus	47.0	47	47	40.0	40	40	1
Boesrvirus	42.0	42	42	58.0	58	58	1
Chamilpavirus	40.0	40	40	59.0	59	59	1
Chosvirus	34.0	34	34	32.0	32	32	1
Cyclitvirus	44.0	44	44	44.0	44	44	1
Dynamenevirus	39.0	39	40	48.0	48	49	3
Foturvirus	48.5	48	49	41.0	41	41	2
Foussvirus	42.0	42	42	34.0	34	34	1
Fujianvirus	43.0	43	43	48.0	48	48	1
Fussvirus	38.0	38	38	32.5	32	33	2
Gajwadongvirus	45.0	45	45	46.0	46	46	3
Gyeongsanvirus	41.0	40	41	59.0	59	59	3
Hapakavirus	46.0	46	46	48.0	48	48	1
Jalkavirus	10.0	10	10	37.0	37	37	1
Jiaweivirus	42.0	42	42	66.0	66	66	1
Kafavirus	45.0	45	45	56.0	56	56	1
Kajamvirus	45.0	45	45	43.0	43	43	1
Kembevirus	46.0	46	46	55.0	55	55	1
Krakvirus	42.0	42	42	52.0	52	52	1
Kuwvirus	45.0	45	45	61.0	61	61	1
Lauvirus	39.0	39	39	35.0	35	35	1
Lingvirus	45.0	45	45	40.0	40	40	1
Lirvirus	47.0	47	47	47.0	47	47	1
Luzcentumvirus	37.0	37	37	61.0	61	61	1
Mallvirus	45.0	45	45	58.0	58	58	1
Morelosvirus	42.0	42	42	60.0	60	60	1
Nohivirus	44.0	44	44	56.0	56	56	1
Oceanidvirus	40.0	40	40	45.0	45	45	2
Oinezvirus	42.0	42	42	55.0	55	55	1
Paadamvirus	43.0	43	43	59.0	59	59	2
Pairvirus	46.0	46	46	61.0	61	61	1
Pastovirus	42.0	42	42	59.0	59	59	1
Pedosvirus	43.0	43	43	47.0	47	47	1
Pekhitvirus	20.0	20	20	47.0	47	47	1
Pelagivirus	42.5	42	43	34.0	34	34	2
Proddevirus	43.0	43	43	51.0	51	51	1
Reminisvirus	46.0	45	46	43.0	43	43	3
Sednavirus	46.0	46	46	47.0	47	47	1
Shangxiadianvirus	41.0	41	41	46.5	46	47	2
Sieqvirus	42.0	42	42	34.0	34	34	1
Stopalavirus	44.0	44	44	57.0	57	57	1
Stopavirus	40.0	40	40	32.0	32	32	1
Sumtervirus	46.0	46	46	67.0	67	67	1
Tawavirus	46.0	46	46	48.0	48	48	1
Thoosavirus	37.0	37	37	32.0	32	32	1
Tiilvirus	47.0	47	47	53.0	53	53	1
Tiranvirus	46.0	46	46	52.0	52	52	1
Tolavirus	45.0	45	45	47.0	47	47	1
Triteiavirus	42.0	42	42	50.0	50	50	1
Vistulavirus	42.0	42	42	59.0	59	59	1
Voetvirus	46.0	46	46	55.0	55	55	1
